 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"C12   Neopl malig do seio piriforme";-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
"C13   Neopl malig da hipofaringe";-;419;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;419
"C14   Neop mal out loc mal def labio cav oral far";-;673;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;673
"C15   Neopl malig do esofago";-;8677;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8677
"C16   Neopl malig do estomago";-;14917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14917
"C17   Neopl malig do intestino delgado";-;1949;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1949
"C18   Neopl malig do colon";-;16730;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16730
"C19   Neopl malig da juncao retossigmoide";-;1986;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1986
"C20   Neopl malig do reto";-;6655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6655
"C21   Neopl malig do anus e do canal anal";-;809;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;809
"C22   Neopl malig figado vias biliares intra-hepat";-;11688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11688
"C23   Neopl malig da vesicula biliar";-;1156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1156
"C24   Neopl malig outr partes e NE vias biliares";-;2948;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2948
"C25   Neopl malig do pancreas";-;14379;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14379
"C26   Neopl malig outr mal def aparelho digestivo";-;4368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4368
"C30   Neopl malig cavidade nasal e do ouvido medio";-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154
"C31   Neopl malig dos seios da face";-;236;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236
"C32   Neopl malig da laringe";-;4701;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4701
"C33   Neopl malig da traqueia";-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"C34   Neopl malig dos bronquios e dos pulmoes";-;32465;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32465
"C37   Neopl malig do timo";-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77
"C38   Neopl malig do coracao mediastino e pleura";-;942;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;942
"C39   Neop mal out loc mal def ap resp org intrat";-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110
"C40   Neopl malig ossos/cartilag artic membros";-;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;1960;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1960
"C43   Melanoma malig da pele";-;2031;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2031
"C44   Outr neopl malig da pele";-;3987;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3987
"C45   Mesotelioma";-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131
"C46   Sarcoma de Kaposi";-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
"C47   Neopl malig nervos perif e sist nerv autonom";-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"C48   Neopl malig tec moles retro- e peritonio";-;1844;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1844
"C49   Neopl malig tec conjuntivo e outr tec moles";-;1653;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1653
"C50   Neopl malig da mama";-;21129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21129
"C51   Neopl malig da vulva";-;534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;534
"C52   Neopl malig da vagina";-;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163
"C53   Neopl malig do colo do utero";-;7493;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7493
"C54   Neopl malig do corpo do utero";-;2726;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2726
"C55   Neopl malig do utero porcao NE";-;1830;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1830
"C56   Neopl malig do ovario";-;4567;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4567
"C57   Neopl malig outr org genitais femin e NE";-;247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247
"C58   Neopl malig da placenta";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"C60   Neopl malig do penis";-;557;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;557
"C61   Neopl malig da prostata";-;17826;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17826
"C62   Neopl malig dos testiculos";-;527;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;527
"C63   Neopl malig outr org genit masc e NE";-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"C64   Neopl malig do rim exceto pelve renal";-;4579;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4579
"C65   Neopl malig da pelve renal";-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99
"C66   Neopl malig dos ureteres";-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107
"C67   Neopl malig da bexiga";-;5483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5483
"C68   Neopl malig de outr orgaos urinarios e NE";-;228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;228
"C69   Neopl malig do olho e anexos";-;238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238
"C70   Neopl malig das meninges";-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184
"C71   Neopl malig do encefalo";-;9089;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9089
