 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"L82   Ceratose seborreica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"L88   Piodermite gangrenosa";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;23
"L89   Ulcera de decubito";-;-;-;-;-;-;-;-;-;-;-;3663;-;-;-;-;-;-;-;3663
"L92   Afeccoes granulomatosas pele tec subcutaneo";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"L93   Lupus eritematoso";-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;65
"L95   Vasculite limitada a pele NCOP";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;22
"L97   Ulcera dos membros infer NCOP";-;-;-;-;-;-;-;-;-;-;-;631;-;-;-;-;-;-;-;631
"L98   Outr afeccoes da pele e tec subcutaneo NCOP";-;-;-;-;-;-;-;-;-;-;-;917;-;-;-;-;-;-;-;917
"M00   Artrite piogenica";-;-;-;-;-;-;-;-;-;-;-;-;321;-;-;-;-;-;-;321
"M05   Artrite reumatoide soro-positiva";-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;94
"M06   Outr artrites reumatoides";-;-;-;-;-;-;-;-;-;-;-;-;534;-;-;-;-;-;-;534
"M08   Artrite juvenil";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;8
"M10   Gota";-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;60
"M11   Outr artropatias p/deposicao de cristais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"M12   Outr artropatias espec";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"M13   Outr artrites";-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;46
"M15   Poliartrose";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;21
"M16   Coxartrose";-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;122
"M17   Gonartrose";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;77
"M18   Artrose prim articulacao carpometacarpiana";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"M19   Outr artroses";-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;110
"M23   Transt internos dos joelhos";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;10
"M25   Outr transt articulares NCOP";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;29
"M30   Poliarterite nodosa e afeccoes correlatas";-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;35
"M31   Outr vasculopatias necrotizantes";-;-;-;-;-;-;-;-;-;-;-;-;280;-;-;-;-;-;-;280
"M32   Lupus eritematoso disseminado";-;-;-;-;-;-;-;-;-;-;-;-;1155;-;-;-;-;-;-;1155
"M33   Dermatopoliomiosite";-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;86
"M34   Esclerose sistemica";-;-;-;-;-;-;-;-;-;-;-;-;236;-;-;-;-;-;-;236
"M35   Outr afeccoes sistemicas do tec conjuntivo";-;-;-;-;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;146
"M43   Outr dorsopatias deformantes";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;26
"M45   Espondilite ancilosante";-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;36
"M46   Outr espondilopatias inflam";-;-;-;-;-;-;-;-;-;-;-;-;298;-;-;-;-;-;-;298
"M47   Espondilose";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;57
"M48   Outr espondilopatias";-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;71
"M50   Transt dos discos cervicais";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;39
"M51   Outr transt de discos intervertebrais";-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;82
"M53   Outr dorsopatias NCOP";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5
"M54   Dorsalgia";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"M60   Miosite";-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;84
"M61   Calcificacao e ossificacao do musculo";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5
"M62   Outr transt musculares";-;-;-;-;-;-;-;-;-;-;-;-;1701;-;-;-;-;-;-;1701
"M72   Transt fibroblasticos";-;-;-;-;-;-;-;-;-;-;-;-;403;-;-;-;-;-;-;403
"M76   Entesopatias dos membros infer excl pe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"M79   Outr transt dos tec moles NCOP";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;21
"M80   Osteoporose c/frat patologica";-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;212
"M81   Osteoporose s/frat patologica";-;-;-;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;104
"M83   Osteomalacia do adulto";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"M84   Transt da continuidade do osso";-;-;-;-;-;-;-;-;-;-;-;-;336;-;-;-;-;-;-;336
"M85   Outr transt da densidade e estrutura osseas";-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;24
"M86   Osteomielite";-;-;-;-;-;-;-;-;-;-;-;-;991;-;-;-;-;-;-;991
"M87   Osteonecrose";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;40
"M88   Doenc de Paget do osso";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5
"M89   Outr transt osseos";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;26
"M91   Osteocondrose juvenil do quadril e da pelve";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5
"M93   Outr osteocondropatias";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"M94   Outr transt das cartilagens";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;6
"M99   Lesoes biomecanicas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"N00   Sindr nefritica aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;298;-;-;-;-;-;298
"N01   Sindr nefritica rapidamente progressiva";-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7
"N02   Hematuria recidivante e persistente";-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;30
"N03   Sindr nefritica cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;4164;-;-;-;-;-;4164
"N04   Sindr nefrotica";-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;113
"N05   Sindr nefritica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;31
"N06   Proteinuria isolada c/lesao morfolog espec";-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;4
"N07   Nefropatia hereditaria NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;30
"N10   Nefrite tubulo-intersticial aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;568;-;-;-;-;-;568
"N11   Nefrite tubulo-intersticial cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;638;-;-;-;-;-;638
"N12   Nefrite tubulo-intersticial NE aguda cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;1514;-;-;-;-;-;1514
"N13   Uropatia obstrutiva e p/refluxo";-;-;-;-;-;-;-;-;-;-;-;-;-;266;-;-;-;-;-;266
"N14   Afec tubul tubulo-interst ind drog met pesad";-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;14
"N15   Outr doenc renais tubulo-intersticiais";-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;150
"N17   Insuf renal aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;7110;-;-;-;-;-;7110
"N18   Insuf renal cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;9093;-;-;-;-;-;9093
"N19   Insuf renal NE";-;-;-;-;-;-;-;-;-;-;-;-;-;2030;-;-;-;-;-;2030
"N20   Calculose do rim e do ureter";-;-;-;-;-;-;-;-;-;-;-;-;-;768;-;-;-;-;-;768
"N21   Calculose do trato urinario infer";-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;35
"N23   Colica nefretica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;13
"N25   Transt result funcao renal tubular alterada";-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;18
"N26   Rim contraido NE";-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;21
"N27   Hipoplasia renal de causa desconhecida";-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;5
"N28   Outr transt do rim e do ureter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;417;-;-;-;-;-;417
"N30   Cistite";-;-;-;-;-;-;-;-;-;-;-;-;-;801;-;-;-;-;-;801
"N31   Disfuncoes neuromusculares da bexiga NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;116
"N32   Outr transt da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;214;-;-;-;-;-;214
"N34   Uretrite e sindr uretral";-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;27
"N35   Estenose da uretra";-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;71
"N36   Outr transt da uretra";-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;33
"N39   Outr transt do trato urinario";-;-;-;-;-;-;-;-;-;-;-;-;-;31139;-;-;-;-;-;31139
"N40   Hiperplasia da prostata";-;-;-;-;-;-;-;-;-;-;-;-;-;1556;-;-;-;-;-;1556
"N41   Doenc inflam da prostata";-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;99
"N42   Outr afeccoes da prostata";-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;100
"N43   Hidrocele e espermatocele";-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7
"N45   Orquite e epididimite";-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;34
"N48   Outr transt do penis";-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;18
"N49   Transt inflam orgaos genitais masc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;464;-;-;-;-;-;464
"N50   Outr transt dos orgaos genitais masc";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"N61   Transt inflam da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;33
"N62   Hipertrofia da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"N63   Nodulo mamario NE";-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;6
"N64   Outr doenc da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;8
"N70   Salpingite e ooforite";-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;47
"N71   Doenc inflam do utero exceto o colo";-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;30
"N72   Doenc inflam do colo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"N73   Outr doenc inflam pelvicas femin";-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;123
"N75   Doenc da gland de Bartholin";-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;10
"N76   Outr afeccoes inflam da vagina e da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;105
"N80   Endometriose";-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;36
"N81   Prolapso genital femin";-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;43
"N82   Fistulas do trato genital femin";-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;58
"N83   Transt nao-infl ovario tromp Falop lig largo";-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;57
"N85   Outr transt nao-inflam utero exc colo utero";-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;16
"N87   Displasia do colo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"N88   Outr transt nao-inflam do colo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"N92   Menstruacao excessiva frequente e irregular";-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;34
"N93   Outr sangramentos anormais utero e vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;17
"N98   Complic assoc a fecundacao artificial";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"O00   Gravidez ectopica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;38
"O01   Mola hidatiforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;13
"O02   Outr produtos anormais da concepcao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;6
"O03   Aborto espontaneo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;17
"O05   Outr tipos de aborto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;7
"O06   Aborto NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;21
"O08   Complic conseq aborto gravidez ectop molar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O10   Hipertens pre-exist complic grav parto puerp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;13
"O11   Dist hipertens pre-exist proteinuria superp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;7
"O13   Hipertensao gestacional s/proteinuria signif";-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;25
"O14   Hipertensao gestacional c/proteinuria signif";-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;131
"O15   Eclampsia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;111;-;-;-;-;111
"O16   Hipertensao materna NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;6
"O20   Hemorragia do inicio da gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"O21   Vomitos excessivos na gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"O22   Complic venosas na gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;7
"O23   Infecc do trato geniturinario na gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;24
"O24   Diabetes mellitus na gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;13
"O26   Assist materna outr complic lig predom grav";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;13
"O28   Achados anorm rastr antenatal mae";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O29   Complic anestesia admin durante gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"O34   Assist prest mae anor conh susp org pelv mat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"O41   Outr transt membranas e liquido amniotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;9
"O42   Ruptura prematura de membranas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O43   Transt da placenta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;12
"O44   Placenta previa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;14
"O45   Descolamento prematuro da placenta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;35
"O46   Hemorragia anteparto NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;8
"O60   Trabalho de parto pre-termo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O62   Anormalidades da contracao uterina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;41
"O63   Trabalho de parto prolongado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O67   Trab parto parto compl hemorr intrapart NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;10
"O68   Trab parto e parto complic sofrimento fetal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O70   Laceracao do perineo durante o parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"O71   Outr traum obstetricos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;16
"O72   Hemorragia pos-parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;103
"O73   Retencao placenta e membranas s/hemorragias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"O74   Complic anestesia durante trab parto e parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;4
"O75   Outr complic do trab parto e do parto NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;35
"O85   Infecc puerperal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;59
"O86   Outr infecc puerperais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;19
"O87   Complic venosas no puerperio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;9
"O88   Embolia orig obstetrica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;56
"O89   Complic da anestesia admin durante puerperio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"O90   Complic do puerperio NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;47
"O95   Morte obstetrica de causa NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;32
"O96   Morte qq caus obst mais 42d menos 1a parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;254;-;-;-;-;254
"O97   Morte p/sequelas causas obstetricas diretas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;4
"O98   Doen inf paras mat COP compl grav part puerp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;80
"O99   Outr doenc mat COP compl grav parto puerp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;263;-;-;-;-;263
"P00   Fet rec-nasc afet afec mat n obr rel grav at";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2032;-;-;-;2032
"P01   Fet rec-nasc afet complic maternas gravidez";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1600;-;-;-;1600
"P02   Fet rec-nasc afet compl plac cord umb membr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1320;-;-;-;1320
"P03   Fet rec-nasc afet out compl trab parto parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;379;-;-;-;379
"P04   Fet rec-nasc infl af noc trans plac leit mat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;74
"P05   Crescimento fetal retard e desnutric fetal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;158
"P07   Transt rel gest curt dur peso baix nasc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1099;-;-;-;1099
"P10   Laceracao intracran hemorrag dev traum parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;8
"P11   Outr traum de parto do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;4
"P12   Lesao do couro cabeludo dev traum de parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"P13   Lesoes do esqueleto dev traum de parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"P15   Outr traum de parto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;24
"P20   Hipoxia intra-uterina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;-;-;-;318
"P21   Asfixia ao nascer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;819;-;-;-;819
"P22   Desconforto respirat do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1538;-;-;-;1538
"P23   Pneumonia congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;-;-;-;204
"P24   Sindr de aspiracao neonatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;537;-;-;-;537
"P25   Enfisema interst afecc corr orig per perinat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;101
"P26   Hemorragia pulmonar orig periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353;-;-;-;353
"P27   Doenc respirat cron orig periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;140
"P28   Outr afeccoes respirat orig per perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;477;-;-;-;477
"P29   Transt cardiovasc orig periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;444;-;-;-;444
"P35   Doenc virais congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;28
"P36   Septicemia bacter do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2163;-;-;-;2163
"P37   Outr doenc infecc e parasit congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;53
"P38   Onfalite recem-nasc c/ou s/hemorragia leve";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;19
"P39   Outr infecc especificas do periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;-;-;-;156
"P50   Perda sanguinea fetal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;10
"P51   Hemorragia umbilical do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;5
"P52   Hemorragia intracran nao-traum feto rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;69
"P53   Doenc hemorragica do feto e do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;36
"P54   Outr hemorragias neonatais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;33
"P55   Doenc hemolitica do feto e do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;35
"P56   Hidropsia fetal dev doenc hemolitica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;31
"P57   Kernicterus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;24
"P58   Ictericia neonatal dev outr hemolises excess";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;13
"P59   Ictericia neonatal dev outr causas e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;18
"P60   Coagulacao intravasc dissem feto rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;61
"P61   Outr transt hematologicos perinatais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;60
"P70   Trans transit metab carboid esp fet rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;99
"P72   Outr transt endocrinos transit period neonat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"P74   Outr dist eletrolit metab transit per neonat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;28
"P76   Outr obstrucoes intestinais do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;37
"P77   Enterocolite necrotizante do feto e rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;674;-;-;-;674
"P78   Outr transt ap digestivo periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;153
"P80   Hipotermia do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;17
"P81   Outr disturbios regulacao termica rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"P83   Outr afecc compr tegum espec feto rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;102
"P90   Convulsoes do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;17
"P91   Outr disturbios funcao cerebral rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;77
"P92   Problemas de alimentacao do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;23
"P93   Reacoes e intox dev drog admin feto rec-nasc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"P94   Transt do tonus muscular do recem-nascido";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;8
"P96   Outr afeccoes originadas periodo perinatal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;568;-;-;-;568
"Q00   Anencefalia e malformacoes similares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;346;-;-;346
"Q01   Encefalocele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;57
"Q02   Microcefalia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224;-;-;224
"Q03   Hidrocefalia congen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;266;-;-;266
"Q04   Outr malformacoes congen do cerebro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;381;-;-;381
"Q05   Espinha bifida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139;-;-;139
"Q06   Outr malformacoes congen da medula espinhal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;20
"Q07   Outr malformacoes congen do sist nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114;-;-;114
"Q20   Malform congen camaras e comunicacoes card";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;328
"Q21   Malformacoes congen dos septos cardiacos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;717;-;-;717
"Q22   Malform congen valvas pulmonar tricuspide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284;-;-;284
"Q23   Malformacoes congen valvas aortica e mitral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;352;-;-;352
"Q24   Outr malformacoes congen do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1486;-;-;1486
